index,EEB.GAM.003.LIT.001.000.000
2019-01-01 00:00:00,1.8718909220827888
2019-01-01 00:10:00,1.8821747219959897
2019-01-01 00:20:00,1.8886096779505408
2019-01-01 00:30:00,1.895296777890884
2019-01-01 00:40:00,1.901098284486458
2019-01-01 00:50:00,1.9060575668017068
2019-01-01 01:00:00,1.91088636358579
2019-01-01 01:10:00,1.9155037133362527
2019-01-01 01:20:00,1.9203643034101603
2019-01-01 01:30:00,1.925588105519613
2019-01-01 01:40:00,1.931228787809664
2019-01-01 01:50:00,1.935802737474441
2019-01-01 02:00:00,1.9406895800431567
2019-01-01 02:10:00,1.9448704973856608
2019-01-01 02:20:00,1.9498044441143672
2019-01-01 02:30:00,1.9541586772600812
2019-01-01 02:40:00,1.9577352768713048
2019-01-01 02:50:00,1.9639016390377095
2019-01-01 03:00:00,1.9675448276236909
2019-01-01 03:10:00,1.9719104425112408
2019-01-01 03:20:00,1.9754986210664116
2019-01-01 03:30:00,1.979072134097417
2019-01-01 03:40:00,1.9822948011226091
2019-01-01 03:50:00,1.9858317950999
2019-01-01 04:00:00,1.9893294111887612
2019-01-01 04:10:00,1.9925670288006463
2019-01-01 04:20:00,1.9957411995530128
2019-01-01 04:30:00,1.998498763839404
2019-01-01 04:40:00,1.9768292053540548
2019-01-01 04:50:00,1.894863296364492
2019-01-01 05:00:00,1.8071436311532547
2019-01-01 05:10:00,1.7173242001516338
2019-01-01 05:20:00,1.621394160930989
2019-01-01 05:30:00,1.5279431225277949
2019-01-01 05:40:00,1.5350183053811393
2019-01-01 05:50:00,1.538472461104393
2019-01-01 06:00:00,1.5410079046090444
2019-01-01 06:10:00,1.5444941508769987
2019-01-01 06:20:00,1.5479350127312903
2019-01-01 06:30:00,1.551421179374059
2019-01-01 06:40:00,1.5541594445241853
2019-01-01 06:50:00,1.5571421349149386
2019-01-01 07:00:00,1.5609266448020935
2019-01-01 07:10:00,1.5642160699664116
2019-01-01 07:20:00,1.566120063662529
2019-01-01 07:30:00,1.5696248336633047
2019-01-01 07:40:00,1.5726596494515737
2019-01-01 07:50:00,1.5755996958414713
2019-01-01 08:00:00,1.5794048710664113
2019-01-01 08:10:00,1.5831662193934122
2019-01-01 08:20:00,1.5869714542229971
2019-01-01 08:30:00,1.5926027242342633
2019-01-01 08:40:00,1.600265921914106
2019-01-01 08:50:00,1.6073271528879802
2019-01-01 09:00:00,1.6142097518505518
2019-01-01 09:10:00,1.6213095247745517
2019-01-01 09:20:00,1.62864288320144
2019-01-01 09:30:00,1.6340140338903135
2019-01-01 09:40:00,1.647265548073774
2019-01-01 09:50:00,1.6633501414256413
2019-01-01 10:00:00,1.674112284375466
2019-01-01 10:10:00,1.6883583272388931
2019-01-01 10:20:00,1.7166468075025716
2019-01-01 10:30:00,1.7446533989181623
2019-01-01 10:40:00,1.7686604414114846
2019-01-01 10:50:00,1.7859367393917032
2019-01-01 11:00:00,1.7994875456956652
2019-01-01 11:10:00,1.8105065890782528
2019-01-01 11:20:00,1.8204159460465112
2019-01-01 11:30:00,1.8305432518323264
2019-01-01 11:40:00,1.9396724445686169
2019-01-01 11:50:00,1.935747519312572
2019-01-01 12:00:00,1.8578949323296547
2019-01-01 12:10:00,1.7773878297840808
2019-01-01 12:20:00,1.6967418948528454
2019-01-01 12:30:00,1.6124995190682725
2019-01-01 12:40:00,1.5262438551853603
2019-01-01 12:50:00,1.5430386898914974
2019-01-01 13:00:00,1.557897117336591
2019-01-01 13:10:00,1.5742891041075442
2019-01-01 13:20:00,1.5863505175709725
2019-01-01 13:30:00,1.5998672991655136
2019-01-01 13:40:00,1.6128240952889124
2019-01-01 13:50:00,1.6253561057284729
2019-01-01 14:00:00,1.637830047418817
2019-01-01 14:10:00,1.6534299571972952
2019-01-01 14:20:00,1.6697043025157716
2019-01-01 14:30:00,1.7224738027932958
2019-01-01 14:40:00,1.8424814736305657
2019-01-01 14:50:00,1.9771860770571703
2019-01-01 15:00:00,1.987270132532152
2019-01-01 15:10:00,1.9209910237508303
2019-01-01 15:20:00,1.8428110285237684
2019-01-01 15:30:00,1.762914698683744
2019-01-01 15:40:00,1.6789693917883657
2019-01-01 15:50:00,1.588222162340826
2019-01-01 16:00:00,1.52376599674831
2019-01-01 16:10:00,1.5942672256628672
2019-01-01 16:20:00,1.6573127103242828
2019-01-01 16:30:00,1.664932265480359
2019-01-01 16:40:00,1.674291073789253
2019-01-01 16:50:00,1.6843370689612494
2019-01-01 17:00:00,1.6946358775364267
2019-01-01 17:10:00,1.7038973108565063
2019-01-01 17:20:00,1.7131512745221456
2019-01-01 17:30:00,1.7194410252503924
2019-01-01 17:40:00,1.7278091299533844
2019-01-01 17:50:00,1.73844231903553
2019-01-01 18:00:00,1.7475827157497406
2019-01-01 18:10:00,1.7568341745596987
2019-01-01 18:20:00,1.7657317892348026
2019-01-01 18:30:00,1.775015910420156
2019-01-01 18:40:00,1.7852864261169512
2019-01-01 18:50:00,1.7954826674227662
2019-01-01 19:00:00,1.8048743663231528
2019-01-01 19:10:00,1.8154894178743417
2019-01-01 19:20:00,1.8265561657781653
2019-01-01 19:30:00,1.8368492107225909
2019-01-01 19:40:00,1.8460812026262283
2019-01-01 19:50:00,1.8561108366286012
2019-01-01 20:00:00,1.8669361775751168
2019-01-01 20:10:00,1.8771689116954804
2019-01-01 20:20:00,1.8866403444245712
2019-01-01 20:30:00,1.898136568420466
2019-01-01 20:40:00,1.9088129242261247
2019-01-01 20:50:00,1.9194099225238217
2019-01-01 21:00:00,1.9304019151198493
