iter	Passed	Remaining
219	2625	9308
220	2643	9316
221	2655	9305
222	2667	9295
223	2679	9281
224	2690	9266
225	2701	9252
226	2712	9237
227	2725	9230
228	2736	9212
229	2747	9196
230	2758	9183
231	2773	9179
232	2786	9172
233	2798	9160
234	2809	9147
235	2822	9138
236	2835	9127
237	2845	9111
238	2858	9100
239	2870	9090
240	2882	9076
241	2893	9063
242	2904	9048
243	2913	9027
244	2923	9009
245	2934	8993
246	2945	8979
247	2955	8962
248	2967	8949
249	2978	8934
250	2989	8920
251	2999	8903
252	3010	8890
253	3022	8878
254	3036	8871
255	3045	8851
256	3056	8837
257	3068	8825
258	3080	8812
259	3091	8799
260	3104	8791
261	3115	8777
262	3126	8761
263	3136	8745
264	3147	8728
265	3156	8710
266	3167	8696
267	3180	8687
268	3191	8673
269	3202	8657
270	3212	8641
271	3224	8630
272	3236	8619
273	3253	8620
274	3265	8609
275	3285	8617
276	3297	8605
277	3309	8593
278	3327	8599
279	3342	8595
280	3354	8583
281	3367	8574
282	3379	8562
283	3392	8551
284	3403	8538
285	3412	8519
286	3424	8508
287	3436	8494
288	3447	8480
289	3459	8469
290	3470	8454
291	3479	8436
292	3489	8419
293	3500	8405
294	3512	8395
295	3523	8379
296	3535	8368
297	3547	8356
298	3558	8341
299	3568	8326
300	3579	8311
301	3589	8295
302	3608	8301
303	3619	8286
304	3629	8271
305	3639	8253
306	3650	8240
307	3662	8228
308	3673	8213
309	3682	8196
310	3694	8185
311	3709	8181
312	3723	8171
313	3735	8160
314	3748	8151
315	3762	8143
316	3776	8135
317	3788	8124
318	3799	8110
319	3808	8094
320	3819	8078
321	3831	8068
322	3844	8057
323	3853	8040
324	3863	8023
325	3872	8006
326	3884	7995
327	3894	7979
328	3905	7965
329	3915	7950
330	3928	7939
331	3941	7929
332	3955	7922
333	3970	7917
334	3986	7912
335	4003	7912
336	4023	7915
337	4053	7938
338	4071	7938
339	4087	7934
340	4100	7925
341	4114	7915
342	4125	7902
343	4142	7899
344	4154	7886
345	4186	7913
346	4204	7911
347	4221	7908
348	4247	7923
349	4281	7950
350	4327	8001
351	4354	8015
352	4373	8016
353	4397	8025
354	4441	8069
355	4524	8184
356	4674	8419
357	4707	8441
358	4722	8431
359	4738	8424
360	4755	8417
361	4768	8404
362	4795	8414
363	4851	8477
364	4873	8477
365	4892	8474
366	4922	8490
367	4950	8501
368	4971	8501
369	5014	8537
370	5066	8590
371	5094	8600
372	5132	8627
373	5158	8635
374	5177	8629
375	5209	8644
376	5225	8635
377	5239	8621
378	5252	8606
379	5263	8588
380	5276	8572
381	5291	8560
382	5318	8567
383	5358	8596
384	5381	8595
385	5417	8617
386	5446	8627
387	5478	8642
388	5522	8673
389	5563	8702
390	5597	8717
391	5645	8756
392	5668	8755
393	5685	8745
394	5705	8739
395	5725	8733
396	5747	8729
397	5758	8710
398	5773	8695
399	5785	8677
400	5796	8659
401	5810	8642
402	5832	8640
403	5864	8651
404	5882	8642
405	5897	8628
406	5912	8614
407	5927	8601
408	5938	8580
409	5948	8560
410	5959	8540
411	5970	8520
412	5979	8498
413	5990	8479
414	6001	8459
415	6010	8437
416	6020	8416
417	6030	8396
418	6042	8378
419	6053	8359
420	6063	8339
421	6078	8325
422	6090	8307
423	6103	8291
424	6117	8276
425	6132	8262
426	6144	8245
427	6159	8232
428	6176	8220
429	6191	8207
430	6203	8190
431	6216	8173
432	6229	8156
433	6240	8139
434	6254	8123
435	6267	8107
436	6280	8091
437	6296	8079
438	6313	8068
439	6343	8073
440	6361	8063
441	6378	8052
442	6396	8042
443	6417	8035
444	6430	8020
445	6445	8006
446	6459	7990
447	6473	7976
448	6486	7959
449	6499	7943
450	6513	7928
451	6526	7913
452	6544	7902
453	6555	7883
454	6567	7866
455	6580	7850
456	6595	7836
457	6609	7821
458	6623	7807
459	6640	7795
460	6655	7782
461	6667	7764
462	6682	7750
463	6697	7736
464	6712	7722
465	6724	7705
466	6737	7689
467	6749	7673
468	6760	7654
469	6771	7635
470	6784	7620
471	6796	7602
472	6814	7592
473	6829	7578
474	6843	7563
475	6866	7558
476	6899	7565
477	6927	7565
478	6953	7563
479	6970	7551
480	6988	7540
481	7000	7523
482	7032	7528
483	7044	7510
484	7057	7493
485	7070	7478
486	7084	7462
487	7096	7445
488	7112	7432
489	7125	7416
490	7137	7398
491	7147	7379
492	7157	7361
493	7175	7350
494	7185	7331
495	7195	7312
496	7205	7292
497	7216	7274
498	7227	7256
499	7236	7236
500	7247	7218
501	7264	7206
502	7282	7195
503	7299	7183
504	7313	7168
505	7328	7154
506	7341	7138
507	7362	7130
508	7377	7116
509	7389	7100
510	7400	7081
511	7409	7061
512	7420	7044
513	7432	7028
514	7444	7010
515	7455	6993
516	7465	6974
517	7476	6956
518	7489	6940
519	7501	6924
520	7511	6906
521	7522	6888
522	7537	6874
523	7549	6858
524	7560	6840
525	7568	6820
526	7578	6802
527	7589	6784
528	7600	6766
529	7608	6747
530	7620	6730
531	7630	6712
532	7640	6694
533	7650	6676
534	7660	6657
535	7670	6640
536	7681	6622
537	7691	6604
538	7702	6587
539	7713	6570
540	7726	6555
541	7741	6541
542	7762	6532
543	7776	6518
544	7801	6512
545	7810	6494
546	7820	6476
547	7831	6459
548	7842	6442
549	7853	6425
550	7862	6406
551	7872	6389
552	7882	6371
553	7893	6354
554	7904	6337
555	7913	6319
556	7925	6303
557	7935	6286
558	7944	6267
559	7956	6251
560	7966	6234
561	7976	6216
562	7986	6198
563	7996	6181
564	8006	6164
565	8016	6146
566	8026	6129
567	8037	6112
568	8046	6095
569	8055	6077
570	8066	6060
571	8077	6044
572	8086	6026
573	8097	6009
574	8110	5994
575	8124	5980
576	8135	5964
577	8146	5947
578	8158	5932
579	8171	5917
580	8183	5901
581	8195	5885
582	8207	5870
583	8218	5854
584	8228	5837
585	8238	5820
586	8250	5804
587	8262	5789
588	8271	5772
589	8283	5756
590	8292	5738
591	8304	5723
592	8316	5707
593	8326	5690
594	8336	5674
595	8348	5658
596	8359	5642
597	8369	5626
598	8379	5609
599	8392	5595
600	8405	5580
601	8419	5566
602	8433	5552
603	8443	5536
604	8454	5520
605	8466	5504
606	8477	5488
607	8487	5472
608	8497	5455
609	8509	5440
610	8519	5423
611	8530	5408
612	8541	5392
613	8551	5376
614	8561	5359
615	8571	5343
616	8582	5327
617	8593	5311
618	8605	5296
619	8615	5280
620	8625	5264
621	8638	5249
622	8652	5236
623	8664	5220
624	8674	5204
625	8683	5188
626	8694	5172
627	8704	5156
628	8715	5140
629	8725	5124
630	8735	5108
631	8746	5092
632	8757	5077
633	8767	5061
634	8777	5045
635	8788	5029
636	8798	5014
637	8810	4998
638	8820	4982
639	8829	4966
640	8841	4951
641	8856	4938
642	8867	4923
643	8881	4909
644	8900	4898
645	8915	4885
646	8928	4871
647	8945	4859
648	8957	4844
649	8968	4829
650	8980	4814
651	8992	4799
652	9007	4786
653	9026	4775
654	9039	4761
655	9053	4747
656	9066	4733
657	9081	4719
658	9097	4707
659	9116	4696
660	9133	4684
661	9149	4671
662	9166	4659
663	9186	4648
664	9203	4636
665	9219	4623
666	9230	4608
667	9244	4594
668	9260	4581
669	9273	4567
670	9286	4553
671	9298	4538
672	9309	4523
673	9320	4507
674	9330	4492
675	9340	4476
676	9353	4462
677	9364	4447
678	9375	4432
679	9385	4416
680	9395	4401
681	9405	4385
682	9416	4370
683	9428	4355
684	9438	4340
685	9448	4324
686	9461	4310
687	9472	4295
688	9483	4280
689	9492	4264
690	9502	4249
691	9513	4234
692	9524	4219
693	9535	4204
694	9545	4189
695	9556	4173
696	9567	4159
697	9577	4143
698	9588	4129
699	9600	4114
700	9610	4099
701	9620	4083
702	9630	4068
703	9640	4053
704	9649	4037
705	9659	4022
706	9671	4008
707	9683	3993
708	9693	3978
709	9702	3963
710	9713	3948
711	9724	3933
712	9734	3918
713	9744	3903
714	9754	3888
715	9765	3873
716	9775	3858
717	9784	3843
718	9794	3827
719	9804	3813
720	9819	3799
721	9831	3785
722	9841	3770
723	9850	3755
724	9862	3740
725	9874	3726
726	9884	3711
727	9895	3697
728	9905	3682
729	9914	3667
730	9925	3652
731	9935	3637
732	9946	3622
733	9956	3608
734	9966	3593
735	9976	3578
736	9986	3563
737	9996	3548
738	10006	3533
739	10017	3519
740	10027	3505
741	10040	3491
742	10049	3476
743	10059	3461
744	10069	3446
745	10081	3432
746	10091	3417
747	10101	3403
748	10111	3388
749	10122	3374
750	10133	3359
751	10142	3344
752	10151	3330
753	10161	3315
754	10172	3300
755	10181	3285
756	10190	3271
757	10204	3257
758	10214	3243
759	10225	3228
760	10240	3216
761	10252	3202
762	10262	3187
763	10273	3173
764	10282	3158
765	10291	3143
766	10302	3129
767	10312	3115
768	10321	3100
769	10330	3085
770	10341	3071
771	10352	3057
772	10363	3043
773	10373	3029
774	10383	3014
775	10392	2999
776	10402	2985
777	10412	2971
778	10420	2956
779	10431	2942
780	10442	2928
781	10453	2914
782	10464	2900
783	10474	2885
784	10486	2872
785	10497	2858
786	10507	2843
787	10516	2829
788	10527	2815
789	10538	2801
790	10548	2787
791	10558	2773
792	10571	2759
793	10587	2746
794	10601	2733
795	10611	2719
796	10624	2706
797	10639	2693
798	10663	2682
799	10675	2668
800	10686	2655
801	10697	2640
802	10707	2626
803	10717	2612
804	10727	2598
805	10738	2584
806	10747	2570
807	10757	2556
808	10768	2542
809	10778	2528
810	10791	2514
811	10801	2500
812	10815	2487
813	10837	2476
814	10847	2462
815	10859	2448
816	10886	2438
817	10900	2425
818	10915	2412
819	10938	2401
820	10951	2387
821	10966	2374
822	10979	2361
823	10992	2347
824	11004	2334
825	11018	2321
826	11032	2307
827	11047	2294
828	11064	2282
829	11079	2269
830	11092	2255
831	11106	2242
832	11122	2229
833	11157	2220
834	11172	2207
835	11188	2194
836	11206	2182
837	11245	2173
838	11272	2163
839	11313	2155
840	11384	2152
841	11443	2147
842	11498	2141
843	11560	2136
844	11593	2126
845	11626	2116
846	11664	2107
847	11687	2095
848	11704	2081
849	11721	2068
850	11736	2054
851	11757	2042
852	11776	2029
853	11792	2015
854	11811	2003
855	11827	1989
856	11876	1981
857	11926	1973
858	11960	1963
859	12071	1965
860	12119	1956
861	12153	1945
862	12165	1931
863	12177	1916
864	12189	1902
865	12202	1888
866	12218	1874
867	12230	1859
868	12244	1845
869	12258	1831
870	12272	1817
871	12295	1804
872	12309	1790
873	12321	1776
874	12334	1762
875	12352	1748
876	12367	1734
877	12383	1720
878	12399	1706
879	12419	1693
880	12437	1680
881	12471	1668
882	12507	1657
883	12555	1647
884	12594	1636
885	12627	1624
886	12656	1612
887	12665	1597
888	12678	1582
889	12688	1568
890	12699	1553
891	12711	1539
892	12721	1524
893	12731	1509
894	12742	1494
895	12753	1480
896	12763	1465
897	12774	1451
898	12785	1436
899	12795	1421
900	12805	1407
901	12816	1392
902	12827	1377
903	12836	1363
904	12845	1348
905	12857	1333
906	12867	1319
907	12879	1304
908	12889	1290
909	12901	1275
910	12914	1261
911	12927	1247
912	12938	1232
913	12950	1218
914	12963	1204
915	12976	1189
916	13025	1178
917	13049	1165
918	13087	1153
919	13102	1139
920	13138	1126
921	13149	1112
922	13161	1097
923	13172	1083
924	13184	1069
925	13196	1054
926	13205	1039
927	13215	1025
928	13226	1010
929	13240	996
930	13252	982
931	13265	967
932	13276	953
933	13286	938
934	13297	924
935	13308	909
936	13319	895
937	13328	881
938	13338	866
939	13350	852
940	13362	837
941	13372	823
942	13384	809
943	13392	794
944	13403	780
945	13412	765
946	13423	751
947	13435	736
948	13452	722
949	13464	708
950	13475	694
951	13484	679
952	13495	665
953	13507	651
954	13519	637
955	13530	622
956	13541	608
957	13550	594
958	13560	579
959	13570	565
960	13580	551
961	13590	536
962	13601	522
963	13612	508
964	13622	494
965	13632	479
966	13642	465
967	13653	451
968	13663	437
969	13673	422
970	13682	408
971	13691	394
972	13701	380
973	13711	366
974	13722	351
975	13732	337
976	13742	323
977	13755	309
978	13766	295
979	13777	281
980	13787	267
981	13797	252
982	13809	238
983	13820	224
984	13831	210
985	13841	196
986	13852	182
987	13862	168
988	13874	154
989	13885	140
990	13895	126
991	13904	112
992	13917	98
993	13926	84
994	13936	70
995	13947	56
996	13957	41
997	13967	27
998	13977	13
999	13987	0
