iter	Logloss
0	0.6773161098
1	0.6626121898
2	0.6488195766
3	0.6357223719
4	0.6235652825
5	0.6123867754
6	0.601299997
7	0.5901167005
8	0.5806023549
9	0.5724683
10	0.5642313694
11	0.556687236
12	0.5495207956
13	0.5421316165
14	0.5362322408
15	0.5299524013
16	0.525137671
17	0.5197492621
18	0.5147637511
19	0.5110085529
20	0.50554518
21	0.5006805046
22	0.4965851593
23	0.4941386998
24	0.4900731457
25	0.4861720355
26	0.4815342191
27	0.4780737378
28	0.4749943259
29	0.4721266145
30	0.4688663252
31	0.4659361242
32	0.4630263583
33	0.4598039066
34	0.4576528189
35	0.4546439827
36	0.452353234
37	0.4497380076
38	0.4469385919
39	0.4444899451
40	0.442032808
41	0.439666733
42	0.436899262
43	0.4339867551
44	0.4314073123
45	0.4296017793
46	0.4282692059
47	0.4270239779
48	0.425265548
49	0.4234852014
50	0.4216679981
51	0.419336124
52	0.4177332762
53	0.4169806815
54	0.4159223084
55	0.4137318658
56	0.4127182807
57	0.4107343677
58	0.4101094525
59	0.4091609124
60	0.4076425138
61	0.4059676477
62	0.4049495737
63	0.4034267895
64	0.4015177448
65	0.4007317498
66	0.3993984245
67	0.3983370388
68	0.3969447212
69	0.3961442778
70	0.3954569692
71	0.394954221
72	0.3939477992
73	0.3930189575
74	0.3919084001
75	0.3907985449
76	0.3901355668
77	0.3890149234
78	0.388137129
79	0.3873043321
80	0.3867235214
81	0.3863990054
82	0.3852977277
83	0.3845572382
84	0.3826735158
85	0.3824176159
86	0.3816285683
87	0.380630626
88	0.3799167855
89	0.3795575388
90	0.3780327438
91	0.3770227653
92	0.3763909792
93	0.3754403919
94	0.3740919986
95	0.3731276068
96	0.3724925646
97	0.3720880986
98	0.3717396589
99	0.3713164839
100	0.3706995221
101	0.3702425467
102	0.3691581185
103	0.3688992983
104	0.3687112594
105	0.3682618264
106	0.3680221873
107	0.3673450517
108	0.3659770153
109	0.3651560754
110	0.3639371301
111	0.3633207322
112	0.3621461778
113	0.3615935649
114	0.360676438
115	0.3602989507
116	0.3598339408
117	0.3591428365
118	0.3588316718
119	0.357915013
120	0.3572645049
121	0.3571083219
122	0.356773569
123	0.3563420487
124	0.3559649304
125	0.3553510457
126	0.3547672936
127	0.35453053
128	0.3543699356
129	0.3534069592
130	0.3527603073
131	0.3522253964
132	0.3518436028
133	0.3509926552
134	0.3507221243
135	0.3503135362
136	0.3497673648
137	0.3494324409
138	0.3488378145
139	0.3482726477
140	0.3476133244
141	0.3472858892
142	0.3464231882
143	0.3455655874
144	0.3451679466
145	0.3448936583
146	0.3439284402
147	0.3434274726
148	0.3432984948
149	0.3430038309
150	0.3426713378
151	0.3424486634
152	0.3417952176
153	0.3412536335
154	0.3409495202
155	0.340597063
156	0.3404442912
157	0.3399746926
158	0.3391697215
159	0.33845523
160	0.338039805
161	0.3377729987
162	0.3375618997
163	0.3373692334
164	0.3363850034
165	0.3362899675
166	0.3356663881
167	0.3351115503
168	0.3346068541
169	0.3340185711
170	0.3337901463
171	0.3332570072
172	0.3327009434
173	0.3324364272
174	0.3319921225
175	0.3317700538
176	0.3316747947
177	0.3314292151
178	0.3309474022
179	0.3308056464
180	0.3304571011
181	0.3294996479
182	0.3290499304
183	0.328746417
184	0.3283692126
